"li_job_id","company","title","matched_role","location","is_remote","date_posted","ago_time","salary","job_url","contact_emails","contact_phones","skills","description"
"","Johnson Controls International","Graduate Engineer Trainee - Johnson Controls Careers","","Pune","","2025-09-17","","","https://jobs.johnsoncontrols.com/job/WD30249961","","","","Machine Learning and AI Trainee EngineerJob Level: Trainee Data Science and Knowledge EngineerExperience Level: EntryLocation: Pune (Hybrid)Reporting To: Data Science and Knowledge EngineerWhat we do:Build your best future with the Johnson Controls team.As a global leader with 140+ years of legacy in smart, healthy and sustainable buildings, our mission is to reimagine the performance of buildings to serve people, places and the planet. Join a winning team that enables you to build your best future! Our teams are uniquely positioned to support a multitude of industries across the globe. You will have the opportunity to develop yourself through meaningful work projects and learning opportunities. We strive to provide our employees with an experience, focused on supporting their physical, financial, and emotional wellbeing.We are a “Great Place To Work” Certified organization. Become a member of the Johnson Controls family and thrive in an empowering company culture where your voice and ideas will be heard – your next great opportunity is just a few clicks away!What We Offer:A structured training program to enhance your technical and professional skills.Mentorship from experienced professionals.opportunities to work on real-world projects and cutting-edge technologies.A collaborative and inclusive work culture.What will you enjoy doing:Working on cutting edge technologies.Working on innovative products.To be part of Cross functional team.Job Description:We are looking for dyna…"
"","nestle.in","Nestlé Careers: Opportunities For Students & Graduates","","","","","","","https://www.nestle.in/jobs/students-graduates","","","","4 days ago ... The Nestlé Graduate Trainee Programme offers recent graduates a unique ... Nespreneur is a program created by Nestlé R+D Accelerator India to engage ..."
"","bemlindia.in","Careers – BEML India","","","","","","","https://www.bemlindia.in/careers/","","","","2 days ago ... Advertisement - Recruitment of Junior Executives – Official Language on Fixed Term (Contract) Basis ... Engineer(Gr II). Advt. No. KP/S/06/2024 ..."
"","careers.coursera.com","Software Engineering Intern - India","","","","","","","https://careers.coursera.com/jobs/software-engineering-intern-india","","","","23 hours ago ... Software Engineering Intern · Strong competencies in data structures, algorithms and software design · Demonstrated software engineer experience via an internship ..."
"","sentinelone.com","Unveiling Opportunities: Careers at SentinelOne","","","","","","","https://www.sentinelone.com/jobs/","","","","4 hours ago ... ... Intern (Costa Rica). Internships - Americas. Cyber Security Analyst. Prague ... India. Sales - Asia, Pacific & Japan. Enterprise Sales Representative ..."
"","workindia.in","Webaxis Software Services company has vacancy of Work From ...","","","","","","","https://www.workindia.in/jobs/work_from_home_software_trainee-hadapsar-pune-7922392/","","","","1 day ago ... Apply for Work From Home - Software Trainee at Webaxis Software Services in Hadapsar, pune, Salary Rs. 10000 - Rs. 20000 per month. Graduate candidates can ..."
"","careers.hitachi.com","Junior QA Engineer - OTT app and device testing IRC274808 in ...","","","","","","","https://careers.hitachi.com/jobs/16761799-junior-qa-engineer-ott-app-and-device-testing-irc274808","","","","19 hours ago ... Junior QA Engineer - OTT app and device testing IRC274808. Location: Bangalore India Job ID: IRC274808 Date Posted: Sep 18, 2025. Segment: Digital System & ..."
"","internshala.com","56 Software Testing Job Vacancies (2025)","","","","","","","https://internshala.com/jobs/software-testing-jobs/","","","","2 days ago ... JOB TITLE: Trainee Test Engineer - QA JOB PURPOSE: Should be able to do test ... As a QA Testing intern at Transition Computing India, you will have ..."
"","VectorShift","Frontend Engineer (India) at VectorShift | Y Combinator","","","","2025-09-17T06:58:08Z","","","https://www.ycombinator.com/companies/vectorshift/jobs/lH7BDkY-frontend-engineer-india","","","","As a Frontend Engineer, you will have the unique opportunity to shape the DNA of our user experience. Given the no/low-code nature of our platform, we're seeking someone who is not only technically adept but also deeply passionate about creating an engaging, intuitive, and performant user interface. Responsibilities: Work directly with the founders to conceptualize and implement an exceptional user interface. Lead frontend architecture decisions, ensuring the platform is scalable and maintainable. Drive forward web performance optimization. Advocate for and implement UI/UX best practices, ensuring users are at the heart of every design decision. Incorporate user feedback to continuously iterate and refine the platform. Stay updated with the latest frontend technologies and integrate them where relevant. Establish foundational frontend practices that will guide future team members. Requirements: Degree in a technical discipline, preferably computer science. Experience with React/NextJS or similar frontend frameworks. Experience with the entire web development process (design, development, and deployment). Ability to integrate seamlessly with backend APIs. Familiarity with source control tools, preferably Git. In-depth knowledge of responsive design. A keen eye for user experience and UI design. Strong communication skills and a collaborative mindset. Problem-solving aptitude and enthusiasm for overcoming challenges. Nice to Have: Experience in early-stage startup environments…"
"","avengers.keka.com","Fullstack Developer Intern","","","","","","","https://avengers.keka.com/careers/jobdetails/97717","","","","2 days ago ... Fullstack Developer Intern. 0 Years. Chennai. Full-Time. About Mako: Founded in 2013, Mako IT Lab is a global software development company committed to ..."
"","ycombinator.com","Jobs at Y Combinator startups in India | Y Combinator","","","","","","","https://www.ycombinator.com/jobs/location/india","","","","2 days ago ... Full stack. •. ₹2.5M - ₹3.5M INR. •. India / Remote (IN). Apply. Mem0 (S24) ... Intern (US Shift). Internship. •. Sales. •. ₹18K - ₹20K INR. •. IN. Apply. Model ML ..."
"4302503234","Coursera","Software Engineering Intern","software engineer","Gurgaon, Haryana, India","Yes","2025-09-18","","Not specified","https://in.linkedin.com/jobs/view/software-engineering-intern-at-coursera-4302503234","accommodations@coursera.org.For","","html; css; react; testing","Coursera was launched in 2012 by Andrew Ng and Daphne Koller with a mission to provide universal access to world-class learning. It is now one of the largest online learning platforms in the world, with 183 million registered learners as of June 30, 2025. Coursera partners with over 350 leading university and industry partners to offer a broad catalog of content and credentials, including courses, Specializations, Professional Certificates, and degrees. Coursera's platform innovations enable instructors to deliver scalable, personalized, and verified learning experiences to their learners. Institutions worldwide rely on Coursera to upskill and reskill their employees, citizens, and students in high-demand fields such as GenAI, data science, technology, and business. Coursera is a Delaware public benefit corporation and a B Corp.We're a global platform aiming to transform lives through learning by offering transformative courses, certificates, and degrees that empower learners worldwide to advance their careers through skill mastery. We're looking for inventors, innovators, and lifelong learners eager to shape the future of education. If you're ready to build the global programs and tools that fuel the power of online learning, join Team Coursera.At Coursera, we are committed to building a globally diverse team and are thrilled to extend employment opportunities to individuals in any country where we have a legal entity. We require candidates to possess eligible working rights and have a compatible timezone overlap with their team to facilitate seamless collaboration. Coursera has a commitment to enabling flexibility and workspace choices for employees. Our interviews and onboarding are entirely virtual, providing a smooth and efficient experience for our candidates. As an employee, we enable you to select your main way of working, whether it's from home, one of our offices or hubs, or a co-working space near you.Job Overview:Coursera's Engineering teams are responsible for maintaining a scalable and reliable platform. Engineering works to build interactive products for the worldwide learner community. As an engineer at Coursera, you will be empowered to build well-engineered products that shape new platform features and advance our technical infrastructure. You will be encouraged to build reliable, scalable, testable, and efficient systems.During the internship, you'll be embedded as a full-time member of a small Engineering team and paired with a mentor on your team. You will have the guidance, environment, and the responsibility of deploying your projects to production. You will work on real projects, features, and updates that will affect millions of learners worldwide!Responsibilities:Support the engineering team with software development; design and implement scalable systems and infrastructuresMeasure our work thoroughly, analyze results, and generate hypotheses to drive new product changes through A/B testingSetup monitoring and testing of our APIs and services to better understand real time health of our productsCode software using Scala and JavaImplement web interfaces using React/Redux, HTML, CSS, and JavaScriptWork in a cross functional team of engineers, PMs, designers, and UX researchersBasic Qualifications:Currently pursuing a B.E./B.Tech. Degree or higher in Computer Science, or related technical fieldMust be currently enrolled in a full time degree program and returning to the program after the completion of the internshipPreferred Qualifications:Strong competencies in data structures, algorithms and software designDemonstrated software engineer experience via an internship, work experience, school projects or coding competitions.Self-motivated, smart, hands-on, relentlessly focused on impact, and able to operate under a great deal of independenceIf this opportunity interests you, you might like these courses on Coursera:You may want to check out this cool course on Coursera about how to prepare for a software engineering interview - it has some great tips that would work well for an interview at Coursera as well. These are our most recent blogs by our past interns: Remote Internship Survival Guide & Empowering Teammates and Thriving RemotelyCoursera is an Equal Employment Opportunity Employer and considers all qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, age, marital status, national origin, protected veteran status, disability, or any other legally protected class.If you are an individual with a disability and require a reasonable accommodation to complete any part of the application process, please contact us at accommodations@coursera.org.For California Candidates, please review our CCPA Applicant Notice here.For our Global Candidates, please review our GDPR Recruitment Notice here."
"4302492279","Birkeland","Software Engineer Intern","software engineer","India","Yes","2025-09-19","","Not specified","https://in.linkedin.com/jobs/view/software-engineer-intern-at-birkeland-4302492279","","","python; javascript; typescript; mysql; testing; jest; pytest","About UsWe are a funded prediction market startup based out of US and Singapore, building cutting-edge fintech products that allow users to trade on financial outcomes. Operating in highly regulated markets, we prioritize compliance, transparency, and trust.As part of our growth, we’re looking for a Software Development Intern who will help design and implement intelligent testing and compliance agents to continuously monitor our platform for quality, regulatory and auditing requirements.ResponsibilitiesBuild automated testing agents that validate app behavior continuously.Develop regulatory compliance monitoring agents that run 24/7 to ensure adherence to security and audit standards.Design alerting and reporting systems for quality compliance or performance anomalies.Simulate financial workflows and edge cases to validate system robustness.Work closely with engineering and compliance teams to align monitoring with global regulatory standards.Generate auditable logs, dashboards, and reports for internal reviews and external regulators.RequirementsStrong programming skills in Python, Go, or JavaScript/TypeScript.Familiarity with automated testing frameworks (Pytest, Go testing, Jest, Cypress, etc.).Understanding of databases (PostgreSQL/MySQL), APIs, and CI/CD pipelines.Passion for fintech, compliance, or security engineering.Detail-oriented mindset with ability to anticipate edge cases and failure modes.Nice to HaveExperience with monitoring/observability systems (Prometheus, Grafana, etc.).Knowledge of financial systems, payments, or blockchain.Exposure to regulatory frameworks (PCI DSS, SOC 2, GDPR).What You’ll GainHands-on experience building regulatory-grade monitoring and compliance systems.Opportunity to work on a global fintech platform at the intersection of finance and emerging tech.A chance to contribute to a mission-critical platform in a highly regulated industry.👉 If you’re excited to build compliance bots and monitoring systems for a global prediction market, we’d love to hear from you!Location: Remote / Hybrid (if based in Bangalore) Type: Internship (2–3 months) Stipend: ₹20,000 – ₹30,000 / month"
"4302454254","Emireq","Software Engineer Intern","software engineer","India","Yes","2025-09-18","","Not specified","https://in.linkedin.com/jobs/view/software-engineer-intern-at-emireq-4302454254","","","python; javascript; react; node; git; github; testing","About Emireq: Emireq is a bold new initiative at the intersection of AI and global value-based economic systems. We are building the world’s first AI-powered Investment Metaverse, a principles-based financial ecosystem that combines technological innovation with ethical stewardship. Our mission is to shape the future of finance by blending cutting-edge technology with integrity and global impact.Company DescriptionWelcome to Emireq, a dynamic platform fostering ethical and Shariah-compliant investments. Emireq operates globally from its bases in the UAE and the US to connect investors, entrepreneurs, and businesses within the Islamic economy. With a presence in Dubai and Silicon Valley, Emireq caters to a diverse audience of ethical investors and visionary entrepreneurs. Our mission is to empower investors with conscious choices and support businesses aligned with ethical principles, ensuring responsible investments are accessible globally. Join Emireq to be part of a community that values ethical financial prosperity on a global scale.Job Title: Software Engineer Intern Location: Remote (India) Duration: Minimum 3 Months Work Hours: 5 Hours DailyStipend: ₹10,000 – ₹15,000 per monthWhat We Offer:Hands-on experience working on live projects in a dynamic tech environment.Mentorship and guidance from experienced professionals.A Completion Certificate upon successful completion of the internship (minimum 3 months).Opportunity for absorption into contract or permanent roles based on performance.Exposure to AI, fintech, and investment technology ecosystems.Responsibilities:Assist in designing, developing, and testing backend and frontend applications.Collaborate with the engineering team to write clean, efficient, and scalable code.Debug and troubleshoot technical issues.Participate in code reviews and contribute to improving best practices.Research and explore new technologies relevant to the curriculum and industry trends.Eligibility Criteria:Students from top-tier engineering colleges (IITs, NITs, IIITs, or within Top 100 engineering institutes in India).Strong academic performance (high CGPA preferred).Recent graduates or candidates with 3–6 months of experience may also apply.Good knowledge of backend and frontend technologies as per the latest curriculum.Requirements:Proficiency in at least one modern programming language (Python, JavaScript, or similar).Understanding of APIs, databases, and system design fundamentals.Strong problem-solving and analytical skills.Ability to work independently in a remote setup.Nice to Have:Exposure to frameworks like React, Node.js, or Django/FastAPI.Familiarity with Git/GitHub.Interest in fintech, AI, and next-gen investment technologies."
"4302716328","Pixeltalent Lab","Software Engineer Intern","software engineer","India","Yes","2025-09-19","","Not specified","https://in.linkedin.com/jobs/view/software-engineer-intern-at-pixeltalent-lab-4302716328","","","python; html; css; react; angular; node; sql; git; github; rest; testing","Company: Pixeltalent Lab Location: Remote Duration: 1–3 Months Stipend: ₹15,000 (Fixed) Perks: Certificate | Letter of Recommendation | Hands-on TrainingAbout Pixeltalent LabPixeltalent Lab offers project-based internships designed to help aspiring software engineers gain hands-on experience in full-stack development, agile workflows, and collaborative coding. Our Software Engineering Internship focuses on building scalable web applications, writing clean code, and deploying real-world solutions using modern frameworks and tools.Role OverviewAs a Software Engineer Intern, you’ll contribute to the development of web-based platforms and internal tools. You’ll work across the stack — from front-end interfaces to backend APIs — and gain exposure to version control, testing, and deployment pipelines.Key ResponsibilitiesDevelop and maintain responsive web interfaces using HTML, CSS, and JavaScriptBuild backend services and RESTful APIs using Node.js, Python, or JavaIntegrate databases (SQL/NoSQL) and manage data flow across componentsParticipate in code reviews, debugging, and performance optimizationCollaborate with designers and other developers in an agile environmentDocument features, workflows, and technical decisions using GitRequirementsPursuing or recently completed a degree in Computer Science, IT, or related fieldFamiliarity with front-end frameworks (React, Vue, or Angular)Basic understanding of backend development and REST APIsExperience with Git and collaborative development workflowsStrong problem-solving and communication skillsAbility to work independently and meet project milestonesWhat You’ll GainPractical experience in full-stack software developmentInternship Completion CertificateLetter of Recommendation for top performersExposure to agile methodologies and live deployment environmentsA portfolio of working web applications and GitHub contributions"
"4300301220","TinyPal","Junior Developer","junior developer","Hyderabad, Telangana, India","No","2025-09-19","","Not specified","https://in.linkedin.com/jobs/view/junior-developer-at-tinypal-4300301220","","","react; node","This isn’t your typical internship — it’s a true 0 to 1 kind of opportunity. We’re looking for a curious, hands-on full-stack intern to help us support new features at TinyPal. Someone who can take ownership of a problem, break it down, and ship clean, working code that users will actually experience. Don’t worry, you will be well-guided by a senior developer. This is a build and ship kind of opportunity - not a bench-warming internship. You’ll work closely with the founder and product team, turning ideas into real functionality across our systems.We don’t expect you to know everything. What we’re looking for is:A solid understanding of React Native and Node.js fundamentals — and the willingness to learn fast.The ability to pick up new tools or frameworks quickly, if needed.A structured approach to building systems that are easy to maintain and scale.Key Responsibilities:Develop and maintain front end and back end components using React Native and Node.jsCollaborate with cross-functional teams to design and implement new features and enhancementsOptimize application performance and ensure scalability of systemsPay: ₹10,000–₹25,000 depending on experience, quality of output, and speed of execution. A letter of recommendation and LinkedIn feature await exceptional contributors. Strong performers may also be considered for a paid, full-time full-stack role going forward.If you love building systems that actually go live - and are excited to work in a fast, iterative, product-led environment - we’d love to hear from you."
"4302892763","UM IT PRIVATE LIMITED","Python Developer Intern","python developer","India","Yes","2025-09-19","","Not specified","https://in.linkedin.com/jobs/view/python-developer-intern-at-um-it-private-limited-4302892763","","","python","Python Developer Intern (Paid) – WebBoost Solutions by UMLocation: RemoteDuration: 3 monthsOpportunity: Full-time based on performance, with a Certificate of InternshipApplication Deadline: 20th September 2025About UsWebBoost Solutions by UM offers students hands-on experience, professional training, and career-building opportunities in software development.Role OverviewJoin us as a Python Developer Intern to enhance your coding skills, work on real-world projects, and gain practical software development experience.Responsibilities✅ Develop, test, and debug Python applications.✅ Collaborate on software projects and API integrations.✅ Learn and apply Python frameworks like Django/Flask.Qualifications🎓 Enrolled in/completed a Computer Science or related program.🐍 Proficient in Python programming.🌐 Familiar with web frameworks (Django/Flask).🧩 Strong problem-solving and time-management skills.Perks💰 Stipend: ₹7,500 - ₹15,000 (Performance-Based) (Paid)✔ Certificate & Letter of Recommendation.✔ Real-world project experience for your portfolio.How to Apply📩 Submit your application with the subject: ""Python Developer Intern Application"".Equal OpportunityWe welcome applicants from all backgrounds!"
"4303029192","Hirebridg Connect","Python Developer Intern","python developer","India","Yes","2025-09-19","","Not specified","https://in.linkedin.com/jobs/view/python-developer-intern-at-hirebridg-connect-4303029192","","","python; sql; git; github; rest","Company: Hirebridg ConnectLocation: RemoteDuration: 1–3 MonthsStipend: ₹15,000 (Fixed)Perks: Certificate, Letter of Recommendation, Hands-on TrainingAbout the Company:Hirebridg Connect offers project-based internships tailored for aspiring developers. Our programs focus on backend development, automation, and real-world application of Python frameworks.Role: Python Developer InternGain hands-on experience in backend development using Python. Work on live projects, build scalable systems, and collaborate with cross-functional teams.Responsibilities:• Develop backend logic and REST APIs using Python• Work with Django, Flask, or FastAPI frameworks• Integrate SQL/NoSQL databases and manage data flow• Write clean, modular, and well-documented code• Debug, test, and optimize backend components• Collaborate with front-end and product teams• Use Git for version control and documentationRequirements:• Pursuing or completed degree in CS/IT or related field• Proficiency in Python and OOP concepts• Familiarity with web frameworks and API development• Basic understanding of databases and Git workflows• Strong problem-solving and communication skills• Ability to work independently and meet deadlinesWhat You’ll Gain:• Practical exposure to backend development• Internship Completion Certificate• Letter of Recommendation for top performers• Real-world deployment experience• GitHub portfolio with working modules and APIs"
"4302497719","Morgan Stanley","Java developer_Associate_Software Engineering","software engineer","Bengaluru, Karnataka, India","No","2025-09-19","","Not specified","https://in.linkedin.com/jobs/view/java-developer-associate-software-engineering-at-morgan-stanley-4302497719","","","java; javascript; spring; spring boot; css; react; angular; git; rest; testing","Job DescriptionProfile DescriptionWe’re seeking someone to join our team as (Associate) Java Fullstack Developer who is hands-on development role and requires the candidate to be involved in all parts of the software development life cycle including requirements, software design, writing code, testing, deployment and maintenance.WM_TechnologyWealth Management Technology is responsible for the design, development, delivery, and support of the technical solutions behind the products and services used by the Morgan Stanley Wealth Management Business. Practice areas include: Analytics, Intelligence, & Data Technology (AIDT), Client Platforms, Core Technology Services (CTS), Financial Advisor Platforms, Global Banking Technology (GBT), Investment Solutions Technology (IST), Institutional Wealth and Corporate Solutions Technology (IWCST), Technology Delivery Management (TDM), User Experience (UX), and the CAO team.Client PlatformsClient Platforms is responsible for defining and implementing an Automation Strategy across all applications supported by Wealth Management QA.Software EngineeringThis is Associate position that develops and maintains software solutions that support business needs.Morgan Stanley is an industry leader in financial services, known for mobilizing capital to help governments, corporations, institutions, and individuals around the world achieve their financial goals.At Morgan Stanley India, we support the Firm’s global businesses, with critical presence across Institutional Securities, Wealth Management, and Investment management, as well as in the Firm’s infrastructure functions of Technology, Operations, Finance, Risk Management, Legal and Corporate & Enterprise Services. Morgan Stanley has been rooted in India since 1993, with campuses in both Mumbai and Bengaluru. We empower our multi-faceted and talented teams to advance their careers and make a global impact on the business. For those who show passion and grit in their work, there’s ample opportunity to move across the businesses for those who show passion and grit in their work.Interested in joining a team that’s eager to create, innovate and make an impact on the world? Read on…What You’ll Do In The RoleThe candidate is expected to provide technical expertise and recommendations in assessing new software projects and initiatives to support and enhance our existing applications.The candidate may also be called on to provide technical, troubleshooting and design guidance to other peer application development teams.Working in a geographically dispersed team, the candidate will be responsible for front to back project delivery and should be able to mentor and motivate junior team members.The candidate will be self-motivated and should be able to work in a dynamic environment with limited or no supervision.What You’ll Bring To The Role At least 2 years’ relevant experience would generally be expected to find the skills required for this roleStrong analysis and problem-solving skillsExcellent communication skillsAbility to interpret business requirements / technical design documents and design / develop appropriate software solutionsMust be able to follow and drive project plans and task schedulesAbility to work in fast paced, diverse and dynamic environment.Exposure to agile methodologiesDriven and self-motivatedSolid understanding and experience with Object-Oriented design and developmentGood understanding of data structures, algorithms and design patternsStrong architectural design skillsA thorough understanding of web technologies and web architectures including responsive designKnowledge of internet attack vectors, protection mechanisms, web application vulnerabilities and their solutions.Source control (preferably Git), Continuous Integration toolsStrong knowledge of Core Java, Spring Framework, Spring Boot, Spring Integration.Good understanding of Web Services protocols such as REST, SOAP, JSON and API design for extensibility and portabilityPrior work on Client facing websites in the banking/brokerage industry a plus.Experience exposing internet websites on mobile devices, or comprehensive knowledge of mobile application development.Knowledge of CSS, HTML5, JavaScript libraries (React and/or Angular)What You Can Expect From Morgan StanleyWe are committed to maintaining the first-class service and high standard of excellence that have defined Morgan Stanley for over 89 years. Our values - putting clients first, doing the right thing, leading with exceptional ideas, committing to diversity and inclusion, and giving back - aren’t just beliefs, they guide the decisions we make every day to do what's best for our clients, communities and more than 80,000 employees in 1,200 offices across 42 countries. At Morgan Stanley, you’ll find an opportunity to work alongside the best and the brightest, in an environment where you are supported and empowered. Our teams are relentless collaborators and creative thinkers, fueled by their diverse backgrounds and experiences. We are proud to support our employees and their families at every point along their work-life journey, offering some of the most attractive and comprehensive employee benefits and perks in the industry. There’s also ample opportunity to move about the business for those who show passion and grit in their work.To learn more about our offices across the globe, please copy and paste https://www.morganstanley.com/about-us/global-offices into your browser.Morgan Stanley is an equal opportunities employer. We work to provide a supportive and inclusive environment where all individuals can maximize their full potential. Our skilled and creative workforce is comprised of individuals drawn from a broad cross section of the global communities in which we operate and who reflect a variety of backgrounds, talents, perspectives, and experiences. Our strong commitment to a culture of inclusion is evident through our constant focus on recruiting, developing, and advancing individuals based on their skills and talents."
"4302190705","Infosys","Python Developer","python developer","Pune, Maharashtra, India","No","2025-09-18","","Not specified","https://in.linkedin.com/jobs/view/python-developer-at-infosys-4302190705","","","python","Primary skills: Python, Django, PostgreSQLA day in the life of an Infoscion As part of the Infosys delivery team, your primary role would be to provide best fit architectural solutions for one or more projects. You would also provide technology consultation and assist in defining scope and sizing of work You would implement solutions, create technology differentiation and leverage partner technologies. Additionally, you would participate in competency development with the objective of ensuring the best-fit and high quality technical solutions. You would be a key contributor in creating thought leadership within the area of technology specialization and in compliance with guidelines, policies and norms of Infosys. If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! Knowledge of architectural design patterns, performance tuning, database and functional designs Hands-on experience in Service Oriented Architecture Ability to lead solution development and delivery for the design solutions Experience in designing high level and low level documents is a plus Good understanding of SDLC is a pre-requisite Awareness of latest technologies and trends Logical thinking and problem solving skills along with an ability to collaborate"
